9,11,29,30,33,60
9,13,26,38,58,60
16,33,38,46,53,55
3,19,28,33,57,58
7,16,22,38,55,57
12,21,29,54,56,57
3,7,17,20,48,50
18,22,25,27,43,44
17,18,35,36,47,52
9,21,37,39,43,54
2,3,19,40,44,60
13,17,21,31,41,49
20,22,35,40,41,59
1,6,21,29,36,59
6,13,26,28,35,41
9,15,20,33,41,43
1,2,10,37,42,48
6,16,18,33,42,57
12,26,31,36,37,49
5,18,36,44,57,60
6,9,34,37,38,45
2,26,35,39,40,56
2,4,6,29,41,56
9,21,30,41,42,43
1,7,10,12,33,42
4,10,12,14,36,46
4,24,37,43,59,60
12,27,30,36,45,52
14,27,35,40,50,55
28,29,31,50,58,59
5,12,14,20,27,28
8,17,34,37,43,45
10,22,23,37,53,60
5,15,18,27,49,57
2,4,25,36,50,53
8,11,17,33,40,55
15,16,20,38,40,58
2,5,11,24,41,49
6,10,27,28,41,52
14,16,38,39,41,48
1,11,14,23,29,55
4,13,23,28,30,52
20,32,33,48,49,53
10,23,31,37,58,59
14,20,23,39,46,50
2,3,8,19,29,37
9,24,33,43,49,57
7,8,14,23,30,46
7,23,26,27,29,51
12,14,34,35,37,47
20,27,41,54,56,58
1,5,7,14,23,26
18,21,30,31,34,51
9,10,30,37,47,54
15,20,39,41,49,57
4,9,24,44,47,56
31,32,33,39,52,55
1,17,30,37,46,50
5,15,22,26,54,58
27,33,39,52,57,58
4,9,31,47,49,53
9,15,20,29,30,42
1,42,44,47,48,53
5,9,24,27,33,46
11,14,15,18,33,34
3,5,11,34,37,42
14,18,28,35,38,54
5,9,18,24,25,42
1,13,18,26,40,56
7,9,10,19,25,58
7,27,31,39,45,46
11,36,45,55,57,58
11,20,27,28,53,60
7,20,38,43,45,53
14,18,30,35,55,57
4,21,27,29,42,47
4,6,32,35,41,45
7,8,31,34,38,47
4,13,25,40,53,57
7,17,26,39,56,60
6,11,29,40,41,58
9,19,23,32,39,45
6,9,12,27,32,57
2,4,7,16,30,38
1,32,37,44,46,47
16,23,32,50,52,58
2,26,40,42,49,56
13,14,29,30,48,59
5,23,34,45,56,57
3,35,38,40,57,58
8,28,36,45,57,59
6,16,22,38,48,52
10,14,16,30,32,36
10,24,42,43,48,49
1,19,21,23,33,43
4,10,18,30,34,47
5,7,10,32,46,60
23,26,51,52,53,58
27,36,40,41,44,54
11,17,24,25,33,34
22,25,28,32,33,47
16,25,30,40,45,49
6,10,11,43,53,55
6,27,38,42,45,57
12,21,28,37,42,57
1,28,29,32,35,56
17,34,46,49,50,57
11,29,37,38,43,60
3,13,23,41,49,53
11,15,28,36,43,55
15,23,30,35,38,44
1,11,34,36,44,56
3,11,29,35,44,57
1,25,27,28,41,56
14,24,32,38,46,53
8,16,20,21,31,34
7,8,22,27,29,42
7,16,37,53,57,59
4,8,26,33,46,53
5,9,20,25,35,53
4,11,16,22,29,33
2,17,21,28,51,60
10,11,16,21,46,50
12,18,19,27,41,46
9,18,19,22,42,47
15,36,45,51,52,59
13,26,30,34,43,51
19,22,39,46,47,59
1,8,19,33,36,48
10,12,16,21,28,38
2,13,24,35,50,54
2,16,21,42,50,56
9,11,14,31,48,51
8,23,25,39,43,44
7,25,32,43,53,55
10,15,34,36,56,60
2,9,42,44,48,50
9,24,28,37,43,57
